B1,B2,B3,B4,B5,B6,B7,Y
-0.355011477,-0.372591785,-0.478436658,-0.516892575,-0.655275073,-0.539276445,-0.254419936,1
-0.339709258,-0.358778626,-0.476415094,-0.503135748,-0.653042238,-0.555802744,-0.292810237,1
-0.36572303,-0.355143584,-0.466981132,-0.484118956,-0.63679216,-0.509613857,-0.206937195,1
-0.381025249,-0.392948019,-0.501347709,-0.518106413,-0.649320846,-0.561841199,-0.315036201,1
-0.347360367,-0.352962559,-0.446765499,-0.473599029,-0.634435279,-0.541713014,-0.280181849,1
-0.306044376,-0.304252999,-0.409703504,-0.439611572,-0.618309248,-0.527093596,-0.245159118,1
-0.362662586,-0.385677935,-0.495956873,-0.519320251,-0.656019351,-0.549340537,-0.288432396,1
-0.33358837,-0.363140676,-0.471698113,-0.495043496,-0.64125783,-0.522220457,-0.248695067,1
-0.343534813,-0.363867684,-0.479784367,-0.50354036,-0.653786516,-0.543831771,-0.277151036,1
-0.352716144,-0.354416576,-0.471698113,-0.500303459,-0.6491968,-0.544043646,-0.274120222,1
-0.348890589,-0.346419484,-0.471698113,-0.499089622,-0.642250202,-0.523809524,-0.252399394,1
-0.364192808,-0.374045802,-0.475067385,-0.522961764,-0.656019351,-0.550929604,-0.273951844,1
-0.326702372,-0.328244275,-0.421832884,-0.441230022,-0.605036284,-0.500079453,-0.228489645,1
-0.380260138,-0.353689567,-0.462264151,-0.484928181,-0.635055511,-0.516923566,-0.251052366,1
-0.354246366,-0.364594693,-0.46361186,-0.485737406,-0.628605098,-0.53853488,-0.270079138,1
-0.328232594,-0.333333333,-0.434636119,-0.450536112,-0.609750047,-0.497113195,-0.232025594,1
-0.345065034,-0.360959651,-0.446091644,-0.458223751,-0.621410407,-0.533132051,-0.291799966,1
-0.363427697,-0.37913486,-0.471698113,-0.498685009,-0.632450537,-0.536945813,-0.288769153,1
-0.335883703,-0.351508542,-0.426549865,-0.455796075,-0.619177572,-0.529106415,-0.28455969,1
-0.054322877,0.01126863,0.09703504,-0.013149909,-0.244309372,-0.16287939,0.055396531,1
0.041315991,0.085423482,0.046495957,-0.151527413,-0.393165044,-0.346045871,-0.092103048,1
0.03213466,0.080334424,0.088274933,-0.075864859,-0.324939527,-0.288521638,-0.069371948,1
-0.064269319,0.000363504,0.05458221,-0.09164475,-0.294176022,-0.258541236,-0.095470618,1
-0.052792655,0.000363504,0.029649596,-0.10095084,-0.314023445,-0.28163568,-0.099174945,1
-0.051262433,0.02435478,0.099056604,-0.007889945,-0.262296099,-0.201228879,0.011618118,1
0.014537108,0.060705198,0.034366577,-0.183087194,-0.378899708,-0.331426453,-0.085199529,1
0.045906656,0.070156307,0.016172507,-0.189560995,-0.419338833,-0.326129562,-0.030308133,1
-0.035195103,0.046165031,0.091644205,-0.05239733,-0.306208522,-0.257164045,-0.046135713,1
-0.064269319,0.027262814,0.117924528,0.016791422,-0.228803573,-0.195614174,-0.037043273,1
-0.052792655,0.002544529,0.074797844,-0.056848068,-0.267133908,-0.173155358,0.025425156,1
-0.055087988,0.014176663,0.075471698,-0.054420392,-0.255473547,-0.113194555,0.117023068,1
-0.064269319,0.023627772,0.110512129,-0.021242161,-0.263784655,-0.137560252,0.088735477,1
0.062739097,0.053435115,-0.00606469,-0.196034797,-0.435092725,-0.338100535,-0.026940562,1
-0.015302219,0.017811705,-0.021563342,-0.197248634,-0.423804503,-0.321997987,-0.019531908,1
-0.098699311,-0.008360596,0.053234501,-0.062917257,-0.272467903,-0.234387415,-0.052534097,1
-0.110941086,0.01999273,0.145552561,0.023669836,-0.236246356,-0.212034536,-0.058764102,1
-0.084927314,-0.039621956,0.046495957,-0.058871131,-0.257334243,-0.200805127,-0.035022731,1
